intersection_id,morning_peakveh/h_north_sec,morning_peakveh/h_south_sec,morning_peakveh/h_east_sec,morning_peakveh/h_west_sec,afternoonveh/h_north_sec,afternoonveh/h_south_sec,afternoonveh/h_east_sec,afternoonveh/h_west_sec,evening_peakveh/h_north_sec,evening_peakveh/h_south_sec,evening_peakveh/h_east_sec,evening_peakveh/h_west_sec,nightveh/h_north_sec,nightveh/h_south_sec,nightveh/h_east_sec,nightveh/h_west_sec
10,19,17,0,22,18,20,0,20,20,17,0,22,20,17,0,22
2,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60
14,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0
11,25,0,0,34,27,0,0,32,26,0,0,33,26,0,0,33
1,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0
8,0,0,35,24,0,0,35,24,0,0,35,24,0,0,32,27
13,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0
7,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0
12,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0
6,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0
9,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,60
5,18,0,20,20,17,0,18,24,18,0,20,20,14,0,18,27
F2,0,60,0,0,0,60,0,0,0,60,0,0,0,60,0,0
3,22,15,0,21,20,21,0,18,22,15,0,21,20,22,0,17
15,31,28,0,0,30,30,0,0,31,28,0,0,31,28,0,0
4,0,0,25,34,0,0,26,33,0,0,25,34,0,0,25,34
